county,states,statefips,pci,household_income,family_income,population,num_of_households
New York County,New York,36,76592,69659,86553,1628706,759460
Arlington,Virginia,51,62018,103208,139244,214861,94454
Falls Church City,Virginia,51,59088,120000,152857,12731,5020
Marin,California,6,56791,90839,117357,254643,102912
Santa Clara,California,6,56248,124055,124055,1927852,640215
Alexandria City,Virginia,51,54608,85706,107511,143684,65369
Pitkin,Colorado,8,51814,72745,93981,17173,7507
Los Alamos,New Mexico,35,51044,106686,124979,17979,7590
Fairfax County,Virginia,51,50532,110292,128596,1101071,389908
Hunterdon,New Jersey,34,50349,106143,125828,127047,46816
Borden,Texas,48,50042,71607,76250,649,225
Montgomery,Maryland,24,49038,98221,117408,989474,360563
Morris,New Jersey,34,48814,98633,117683,495261,179665
Fairfield,Connecticut,9,48721,82283,104250,926233,332655
San Francisco,California,6,48486,75604,90116,817501,345344
Howard,Maryland,24,48172,109865,128657,293821,106142
Westchester,New York,36,47984,81946,105341,956283,343561
Somerset,New Jersey,34,47803,99020,117393,326207,115531
Nantucket,Massachusetts,25,47331,85478,92500,10224,4069
Loudoun,Virginia,51,46565,122238,133550,326477,106997
North Slope,Alaska,2,46457,80761,82500,9484,1990
San Mateo,California,6,45732,88202,105844,729543,257941
Kalawao,Hawaii,15,45515,59375,88750,71,46
Goochland,Virginia,51,45039,80976,92042,21565,8058
Norfolk,Massachusetts,25,44692,84916,108943,677296,257451
Fairfax City,Virginia,51,44345,97242,113538,23027,8492
Douglas,Colorado,8,43634,101591,112930,293014,103780
Teton,Wyoming,56,43444,68078,83558,21575,7583
Bergen,New Jersey,34,43347,83794,102222,912795,335422
Middlesex,Massachusetts,25,42861,82090,104032,1522533,581120
Monmouth,New Jersey,34,42749,84526,105971,629735,233909
Summit,Utah,49,42462,83336,95879,37232,13627
Nassau,New York,36,42400,97690,112874,1343765,441955
Mineral,Colorado,8,42255,47083,68438,761,393
Chester,Pennsylvania,42,42210,86050,105278,503075,184788
Ozaukee,Wisconsin,55,42041,75457,92262,86708,34108
Clear Creek,Colorado,8,41716,67259,89583,9048,4024
Montgomery,Pennsylvania,42,41472,79183,99587,804621,307488
Williamson,Tennessee,47,41292,89779,104796,188935,66364
San Miguel,Colorado,8,40827,63594,77708,7496,3234
Anne Arundel,Maryland,24,40415,87430,101268,544426,199904
Putnam,New York,36,40309,95117,109188,99718,34496
Newport,Rhode Island,44,40293,71713,88962,82545,34774
Delaware County,Ohio,39,40189,89757,103564,178139,64208
Middlesex,Connecticut,9,39992,76994,98501,165690,66141
King,Washington,53,39911,71811,92510,1974567,802606
Fauquier,Virginia,51,39600,88409,103556,66015,23130
Hamilton,Indiana,18,39521,82468,99768,282977,103234
Eagle,Colorado,8,39497,74456,86167,52151,17966
James City County,Virginia,51,39133,76960,90406,68171,26883
Bristol,Rhode Island,44,38893,71238,93131,49426,19174
Johnson,Kansas,20,38827,74717,92512,552947,216304
Clarke,Virginia,51,38748,77597,95654,14191,5580
Williams,North Dakota,38,38738,76210,86285,25024,10411
DuPage,Illinois,17,38570,78487,95208,922803,336028
Poquoson City,Virginia,51,38444,81892,98848,12117,4591
Rockingham,New Hampshire,33,38399,77348,93420,296718,116262
Calvert,Maryland,24,38260,95477,107684,89332,30923
Contra Costa,California,6,38219,78756,94208,1065794,375855
Queen Anne's,Maryland,24,38108,87256,97909,48166,17292
Gilpin,Colorado,8,38022,63885,87639,5477,2504
Talbot,Maryland,24,38022,61597,74811,37859,16013
Lake,Illinois,17,38018,77469,92116,702099,241072
Boulder,Colorado,8,38011,67956,92667,301072,120521
