"industry_code","industry_title"
"10","10 Total, all industries"
"101","101 Goods-producing"
"1011","1011 Natural resources and mining"
"1012","1012 Construction"
"1013","1013 Manufacturing"
"102","102 Service-providing"
"1021","1021 Trade, transportation, and utilities"
"1022","1022 Information"
"1023","1023 Financial activities"
"1024","1024 Professional and business services"
"1025","1025 Education and health services"
"1026","1026 Leisure and hospitality"
"1027","1027 Other services"
"1028","1028 Public administration"
"1029","1029 Unclassified"
"11","NAICS 11 Agriculture, forestry, fishing and hunting"
"111","NAICS 111 Crop production"
"1111","NAICS 1111 Oilseed and grain farming"
"11111","NAICS 11111 Soybean farming"
"111110","NAICS 111110 Soybean farming"
"11112","NAICS 11112 Oilseed (except soybean) farming"
"111120","NAICS 111120 Oilseed (except soybean) farming"
"11113","NAICS 11113 Dry pea and bean farming"
"111130","NAICS 111130 Dry pea and bean farming"
"11114","NAICS 11114 Wheat farming"
"111140","NAICS 111140 Wheat farming"
"11115","NAICS 11115 Corn farming"
"111150","NAICS 111150 Corn farming"
"11116","NAICS 11116 Rice farming"
"111160","NAICS 111160 Rice farming"
"11119","NAICS 11119 Other grain farming"
"111191","NAICS 111191 Oilseed and grain combination farming"
"111199","NAICS 111199 All other grain farming"
"1112","NAICS 1112 Vegetable and melon farming"
"11121","NAICS 11121 Vegetable and melon farming"
"111211","NAICS 111211 Potato farming"
"111219","NAICS 111219 Other vegetable (except potato) and melon farming"
"1113","NAICS 1113 Fruit and tree nut farming"
"11131","NAICS 11131 Orange groves"
"111310","NAICS 111310 Orange groves"
"11132","NAICS 11132 Citrus (except orange) groves"
"111320","NAICS 111320 Citrus (except orange) groves"
"11133","NAICS 11133 Noncitrus fruit and tree nut farming"
"111331","NAICS 111331 Apple orchards"
"111332","NAICS 111332 Grape vineyards"
"111333","NAICS 111333 Strawberry farming"
"111334","NAICS 111334 Berry (except strawberry) farming"
"111335","NAICS 111335 Tree nut farming"
"111336","NAICS 111336 Fruit and tree nut combination farming"
"111339","NAICS 111339 Other noncitrus fruit farming"
"1114","NAICS 1114 Greenhouse, nursery, and floriculture production"
"11141","NAICS 11141 Food crops grown under cover"
"111411","NAICS 111411 Mushroom production"
"111419","NAICS 111419 Other food crops grown under cover"
"11142","NAICS 11142 Nursery and floriculture production"
"111421","NAICS 111421 Nursery and tree production"
"111422","NAICS 111422 Floriculture production"
"1119","NAICS 1119 Other crop farming"
"11191","NAICS 11191 Tobacco farming"
"111910","NAICS 111910 Tobacco farming"
"11192","NAICS 11192 Cotton farming"
"111920","NAICS 111920 Cotton farming"
"11193","NAICS 11193 Sugarcane farming"
"111930","NAICS 111930 Sugarcane farming"
"11194","NAICS 11194 Hay farming"
"111940","NAICS 111940 Hay farming"
"11199","NAICS 11199 All other crop farming"
"111991","NAICS 111991 Sugar beet farming"
"111992","NAICS 111992 Peanut farming"
"111998","NAICS 111998 All other miscellaneous crop farming"
"112","NAICS 112 Animal production and aquaculture"
"1121","NAICS 1121 Cattle ranching and farming"
"11211","NAICS 11211 Beef cattle ranching and farming, including feedlots"
"112111","NAICS 112111 Beef cattle ranching and farming"
"112112","NAICS 112112 Cattle feedlots"
"11212","NAICS 11212 Dairy cattle and milk production"
"112120","NAICS 112120 Dairy cattle and milk production"
"1122","NAICS 1122 Hog and pig farming"
"11221","NAICS 11221 Hog and pig farming"
"112210","NAICS 112210 Hog and pig farming"
"1123","NAICS 1123 Poultry and egg production"
"11231","NAICS 11231 Chicken egg production"
"112310","NAICS 112310 Chicken egg production"
"11232","NAICS 11232 Broilers and other meat type chicken production"
"112320","NAICS 112320 Broilers and other meat type chicken production"
"11233","NAICS 11233 Turkey production"
"112330","NAICS 112330 Turkey production"
"11234","NAICS 11234 Poultry hatcheries"
"112340","NAICS 112340 Poultry hatcheries"
"11239","NAICS 11239 Other poultry production"
"112390","NAICS 112390 Other poultry production"
"1124","NAICS 1124 Sheep and goat farming"
"11241","NAICS 11241 Sheep farming"
"112410","NAICS 112410 Sheep farming"
"11242","NAICS 11242 Goat farming"
"112420","NAICS 112420 Goat farming"
"1125","NAICS 1125 Aquaculture"
"11251","NAICS 11251 Aquaculture"
"112511","NAICS 112511 Finfish farming and fish hatcheries"
"112512","NAICS 112512 Shellfish farming"
"112519","NAICS 112519 Other aquaculture"
"1129","NAICS 1129 Other animal production"
"11291","NAICS 11291 Apiculture"
"112910","NAICS 112910 Apiculture"
"11292","NAICS 11292 Horses and other equine production"
"112920","NAICS 112920 Horses and other equine production"
"11293","NAICS 11293 Fur-bearing animal and rabbit production"
"112930","NAICS 112930 Fur-bearing animal and rabbit production"
"11299","NAICS 11299 All other animal production"
"112990","NAICS 112990 All other animal production"
"113","NAICS 113 Forestry and logging"
"1131","NAICS 1131 Timber tract operations"
"11311","NAICS 11311 Timber tract operations"
"113110","NAICS 113110 Timber tract operations"
"1132","NAICS 1132 Forest nurseries and gathering of forest products"
"11321","NAICS 11321 Forest nurseries and gathering of forest products"
"113210","NAICS 113210 Forest nurseries and gathering of forest products"
"1133","NAICS 1133 Logging"
"11331","NAICS 11331 Logging"
"113310","NAICS 113310 Logging"
"114","NAICS 114 Fishing, hunting and trapping"
"1141","NAICS 1141 Fishing"
"11411","NAICS 11411 Fishing"
"114111","NAICS 114111 Finfish fishing"
"114112","NAICS 114112 Shellfish fishing"
"114119","NAICS 114119 Other marine fishing"
"1142","NAICS 1142 Hunting and trapping"
"11421","NAICS 11421 Hunting and trapping"
"114210","NAICS 114210 Hunting and trapping"
"115","NAICS 115 Support activities for agriculture and forestry"
"1151","NAICS 1151 Support activities for crop production"
"11511","NAICS 11511 Support activities for crop production"
"115111","NAICS 115111 Cotton ginning"
"115112","NAICS 115112 Soil preparation, planting, and cultivating"
"115113","NAICS 115113 Crop harvesting, primarily by machine"
"115114","NAICS 115114 Postharvest crop activities (except cotton ginning)"
"115115","NAICS 115115 Farm labor contractors and crew leaders"
"115116","NAICS 115116 Farm management services"
"1152","NAICS 1152 Support activities for animal production"
"11521","NAICS 11521 Support activities for animal production"
"115210","NAICS 115210 Support activities for animal production"
"1153","NAICS 1153 Support activities for forestry"
"11531","NAICS 11531 Support activities for forestry"
"115310","NAICS 115310 Support activities for forestry"
"21","NAICS 21 Mining, quarrying, and oil and gas extraction"
"211","NAICS 211 Oil and gas extraction"
"2111","NAICS 2111 Oil and gas extraction"
"21111","NAICS12 21111 Oil and gas extraction"
"211111","NAICS12 211111 Crude petroleum and natural gas extraction"
"211112","NAICS12 211112 Natural gas liquid extraction"
"21112","NAICS 21112 Crude petroleum extraction"
"211120","NAICS 211120 Crude petroleum extraction"
"21113","NAICS 21113 Natural gas extraction"
"211130","NAICS 211130 Natural gas extraction"
"212","NAICS 212 Mining (except oil and gas)"
"2121","NAICS 2121 Coal mining"
"21211","NAICS 21211 Coal mining"
"212111","NAICS17 212111 Bituminous coal and lignite surface mining"
"212112","NAICS17 212112 Bituminous coal underground mining"
"212113","NAICS17 212113 Anthracite mining"
"212114","NAICS 212114 Surface coal mining"
"212115","NAICS 212115 Underground coal mining"
"2122","NAICS 2122 Metal ore mining"
"21221","NAICS 21221 Iron ore mining"
"212210","NAICS 212210 Iron ore mining"
"21222","NAICS 21222 Gold ore and silver ore mining"
"212220","NAICS 212220 Gold ore and silver ore mining"
"212221","NAICS17 212221 Gold ore mining"
"212222","NAICS17 212222 Silver ore mining"
"21223","NAICS 21223 Copper, nickel, lead, and zinc mining"
"212230","NAICS 212230 Copper, nickel, lead, and zinc mining"
"212231","NAICS12 212231 Lead ore and zinc ore mining"
"212234","NAICS12 212234 Copper ore and nickel ore mining"
"21229","NAICS 21229 Other metal ore mining"
"212290","NAICS 212290 Other metal ore mining"
"212291","NAICS17 212291 Uranium-radium-vanadium ore mining"
"212299","NAICS17 212299 All other metal ore mining"
"2123","NAICS 2123 Nonmetallic mineral mining and quarrying"
"21231","NAICS 21231 Stone mining and quarrying"
"212311","NAICS 212311 Dimension stone mining and quarrying"
"212312","NAICS 212312 Crushed and broken limestone mining and quarrying"
"212313","NAICS 212313 Crushed and broken granite mining and quarrying"
"212319","NAICS 212319 Other crushed and broken stone mining and quarrying"
"21232","NAICS 21232 Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying"
"212321","NAICS 212321 Construction sand and gravel mining"
"212322","NAICS 212322 Industrial sand mining"
"212323","NAICS 212323 Kaolin, clay, and ceramic and refractory minerals mining"
"212324","NAICS17 212324 Kaolin and ball clay mining"
"212325","NAICS17 212325 Clay, ceramic, and refractory minerals mining"
"21239","NAICS 21239 Other nonmetallic mineral mining and quarrying"
"212390","NAICS 212390 Other nonmetallic mineral mining and quarrying"
"212391","NAICS17 212391 Potash, soda, and borate mineral mining"
"212392","NAICS17 212392 Phosphate rock mining"
"212393","NAICS17 212393 Other chemical and fertilizer mineral mining"
"212399","NAICS17 212399 All other nonmetallic mineral mining"
"213","NAICS 213 Support activities for mining"
"2131","NAICS 2131 Support activities for mining"
"21311","NAICS 21311 Support activities for mining"
"213111","NAICS 213111 Drilling oil and gas wells"
"213112","NAICS 213112 Support activities for oil and gas operations"
"213113","NAICS 213113 Support activities for coal mining"
"213114","NAICS 213114 Support activities for metal mining"
"213115","NAICS 213115 Support activities for nonmetallic minerals (except fuels) mining"
"22","NAICS 22 Utilities"
"221","NAICS 221 Utilities"
"2211","NAICS 2211 Electric power generation, transmission and distribution"
"22111","NAICS 22111 Electric power generation"
"221111","NAICS 221111 Hydroelectric power generation"
"221112","NAICS 221112 Fossil fuel electric power generation"
"221113","NAICS 221113 Nuclear electric power generation"
"221114","NAICS 221114 Solar electric power generation"
"221115","NAICS 221115 Wind electric power generation"
"221116","NAICS 221116 Geothermal electric power generation"
"221117","NAICS 221117 Biomass electric power generation"
"221118","NAICS 221118 Other electric power generation"
"221119","NAICS07 221119 Other electric power generation"
"22112","NAICS 22112 Electric power transmission, control, and distribution"
"221121","NAICS 221121 Electric bulk power transmission and control"
"221122","NAICS 221122 Electric power distribution"
"2212","NAICS 2212 Natural gas distribution"
"22121","NAICS 22121 Natural gas distribution"
"221210","NAICS 221210 Natural gas distribution"
"2213","NAICS 2213 Water, sewage and other systems"
"22131","NAICS 22131 Water supply and irrigation systems"
"221310","NAICS 221310 Water supply and irrigation systems"
"22132","NAICS 22132 Sewage treatment facilities"
"221320","NAICS 221320 Sewage treatment facilities"
"22133","NAICS 22133 Steam and air-conditioning supply"
"221330","NAICS 221330 Steam and air-conditioning supply"
"23","NAICS 23 Construction"
"236","NAICS 236 Construction of buildings"
"2361","NAICS 2361 Residential building construction"
"23611","NAICS 23611 Residential building construction"
"236115","NAICS 236115 New single-family housing construction (except for-sale builders)"
"236116","NAICS 236116 New multifamily housing construction (except for-sale builders)"
"236117","NAICS 236117 New housing for-sale builders"
"236118","NAICS 236118 Residential remodelers"
"2362","NAICS 2362 Nonresidential building construction"
"23621","NAICS 23621 Industrial building construction"
"236210","NAICS 236210 Industrial building construction"
"23622","NAICS 23622 Commercial and institutional building construction"
"236220","NAICS 236220 Commercial and institutional building construction"
"237","NAICS 237 Heavy and civil engineering construction"
"2371","NAICS 2371 Utility system construction"
"23711","NAICS 23711 Water and sewer line and related structures construction"
"237110","NAICS 237110 Water and sewer line and related structures construction"
"23712","NAICS 23712 Oil and gas pipeline and related structures construction"
"237120","NAICS 237120 Oil and gas pipeline and related structures construction"
"23713","NAICS 23713 Power and communication line and related structures construction"
"237130","NAICS 237130 Power and communication line and related structures construction"
"2372","NAICS 2372 Land subdivision"
"23721","NAICS 23721 Land subdivision"
"237210","NAICS 237210 Land subdivision"
"2373","NAICS 2373 Highway, street, and bridge construction"
"23731","NAICS 23731 Highway, street, and bridge construction"
"237310","NAICS 237310 Highway, street, and bridge construction"
"2379","NAICS 2379 Other heavy and civil engineering construction"
"23799","NAICS 23799 Other heavy and civil engineering construction"
"237990","NAICS 237990 Other heavy and civil engineering construction"
"238","NAICS 238 Specialty trade contractors"
"2381","NAICS 2381 Building foundation and exterior contractors"
"23811","NAICS 23811 Poured concrete structure contractors"
"238111","NAICS 238111 Residential poured foundation contractors"
"238112","NAICS 238112 Nonresidential poured foundation contractors"
"23812","NAICS 23812 Steel and precast concrete contractors"
"238121","NAICS 238121 Residential structural steel contractors"
"238122","NAICS 238122 Nonresidential structural steel contractors"
"23813","NAICS 23813 Framing contractors"
"238131","NAICS 238131 Residential framing contractors"
"238132","NAICS 238132 Nonresidential framing contractors"
"23814","NAICS 23814 Masonry contractors"
"238141","NAICS 238141 Residential masonry contractors"
"238142","NAICS 238142 Nonresidential masonry contractors"
"23815","NAICS 23815 Glass and glazing contractors"
"238151","NAICS 238151 Residential glass and glazing contractors"
"238152","NAICS 238152 Nonresidential glass and glazing contractors"
"23816","NAICS 23816 Roofing contractors"
"238161","NAICS 238161 Residential roofing contractors"
"238162","NAICS 238162 Nonresidential roofing contractors"
"23817","NAICS 23817 Siding contractors"
"238171","NAICS 238171 Residential siding contractors"
"238172","NAICS 238172 Nonresidential siding contractors"
"23819","NAICS 23819 Other building exterior contractors"
"238191","NAICS 238191 Other residential exterior contractors"
"238192","NAICS 238192 Other nonresidential exterior contractors"
"2382","NAICS 2382 Building equipment contractors"
"23821","NAICS 23821 Electrical and wiring contractors"
"238211","NAICS 238211 Residential electrical contractors"
"238212","NAICS 238212 Nonresidential electrical contractors"
"23822","NAICS 23822 Plumbing and hvac contractors"
"238221","NAICS 238221 Residential plumbing and hvac contractors"
"238222","NAICS 238222 Nonresidential plumbing and hvac contractors"
"23829","NAICS 23829 Other building equipment contractors"
"238291","NAICS 238291 Other residential equipment contractors"
"238292","NAICS 238292 Other nonresidential equipment contractors"
"2383","NAICS 2383 Building finishing contractors"
"23831","NAICS 23831 Drywall and insulation contractors"
"238311","NAICS 238311 Residential drywall contractors"
"238312","NAICS 238312 Nonresidential drywall contractors"
"23832","NAICS 23832 Painting and wall covering contractors"
"238321","NAICS 238321 Residential painting contractors"
"238322","NAICS 238322 Nonresidential painting contractors"
"23833","NAICS 23833 Flooring contractors"
"238331","NAICS 238331 Residential flooring contractors"
"238332","NAICS 238332 Nonresidential flooring contractors"
"23834","NAICS 23834 Tile and terrazzo contractors"
"238341","NAICS 238341 Residential tile and terrazzo contractors"
"238342","NAICS 238342 Nonresidential tile and terrazzo contractors"
"23835","NAICS 23835 Finish carpentry contractors"
"238351","NAICS 238351 Residential finish carpentry contractors"
"238352","NAICS 238352 Nonresidential finish carpentry contractors"
"23839","NAICS 23839 Other building finishing contractors"
"238391","NAICS 238391 Other residential finishing contractors"
"238392","NAICS 238392 Other nonresidential finishing contractors"
"2389","NAICS 2389 Other specialty trade contractors"
"23891","NAICS 23891 Site preparation contractors"
"238911","NAICS 238911 Residential site preparation contractors"
"238912","NAICS 238912 Nonresidential site preparation contractors"
"23899","NAICS 23899 All other specialty trade contractors"
"238991","NAICS 238991 All other residential trade contractors"
"238992","NAICS 238992 All other nonresidential trade contractors"
"311","NAICS 311 Food manufacturing"
"3111","NAICS 3111 Animal food manufacturing"
"31111","NAICS 31111 Animal food manufacturing"
"311111","NAICS 311111 Dog and cat food manufacturing"
"311119","NAICS 311119 Other animal food manufacturing"
"3112","NAICS 3112 Grain and oilseed milling"
"31121","NAICS 31121 Flour milling and malt manufacturing"
"311211","NAICS 311211 Flour milling"
"311212","NAICS 311212 Rice milling"
"311213","NAICS 311213 Malt manufacturing"
"31122","NAICS 31122 Starch and vegetable fats and oils manufacturing"
"311221","NAICS 311221 Wet corn milling and starch manufacturing"
"311222","NAICS07 311222 Soybean processing"
"311223","NAICS07 311223 Other oilseed processing"
"311224","NAICS 311224 Soybean and other oilseed processing"
"311225","NAICS 311225 Fats and oils refining and blending"
"31123","NAICS 31123 Breakfast cereal manufacturing"
"311230","NAICS 311230 Breakfast cereal manufacturing"
"3113","NAICS 3113 Sugar and confectionery product manufacturing"
"31131","NAICS 31131 Sugar manufacturing"
"311311","NAICS07 311311 Sugarcane mills"
"311312","NAICS07 311312 Cane sugar refining"
